"ID","X","Y","SIGLA_PAIS","UC","Garimpo+5k","CD_MUN","NM_MUN","UF","Bacia Hidr","Reg ANAC","CIAD"
596,-53.576325,-6.863508,"BRA","ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
1661,-51.756738,-6.223856,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","SIM","PA0035"
2719,-53.764309,-13.770104,"BRA",,"NÃO",5106307,"Paranatinga","MT","Xingu","NÃO",
2285,-54.935432,-8.004559,"BRA",,"SIM",1500602,"Altamira","PA","Xingu","SIM","PA0138"
116,-51.48676,-7.62901,"BRA",,"NÃO",1505437,"Ourilândia do Norte","PA","Xingu","NÃO",
2571,-55.091099,-11.627839,"BRA",,"NÃO",5103056,"Cláudia","MT","Xingu","NÃO",
1354,-52.904413,-14.090618,"BRA",,"NÃO",5100201,"Água Boa","MT","Xingu","SIM","MT0065"
1474,-52.824528,-11.163752,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","SIM","MT0299"
595,-53.928363,-6.536279,"BRA","ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
1648,-51.320653,-6.601304,"BRA",,"NÃO",1508084,"Tucumã","PA","Xingu","NÃO",
645,-52.920599,-6.380949,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
622,-53.313939,-6.324946,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
644,-53.171772,-6.458663,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
51,-51.847717,-8.733728,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","SIM","PA0144"
107,-50.917186,-7.415226,"BRA",,"SIM",1501253,"Bannach","PA","Xingu","NÃO",
2284,-55.058384,-8.178802,"BRA",,"SIM",1500602,"Altamira","PA","Xingu","NÃO",
2774,-53.617832,-13.734749,"BRA",,"NÃO",5103858,"Gaúcha do Norte","MT","Xingu","SIM","MT0769"
37,-52.538863,-5.834346,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
132,-51.237804,-8.229892,"BRA",,"NÃO",1502764,"Cumaru do Norte","PA","Xingu","NÃO",
1470,-52.200024,-11.441784,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","SIM","MT0041"
2161,-52.7337,-10.889698,"BRA",,"NÃO",5107354,"São José do Xingu","MT","Xingu","SIM","MT0494"
636,-53.384914,-6.11353,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
283,-52.82566,-12.920476,"BRA",,"NÃO",5102702,"Canarana","MT","Xingu","NÃO",
1401,-55.115392,-8.298526,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","SIM","PA0135"
2307,-52.244629,-6.08652,"BRA",,"SIM",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
1319,-51.328663,-6.177512,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
260,-53.185659,-12.235473,"BRA",,"NÃO",5107065,"Querência","MT","Xingu","NÃO",
2653,-54.75562,-13.820323,"BRA",,"NÃO",5106240,"Nova Ubiratã","MT","Xingu","SIM","MT0510"
1664,-51.658286,-6.204223,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
2291,-54.996589,-7.609519,"BRA",,"SIM",1500602,"Altamira","PA","Xingu","NÃO",
1893,-54.886262,-11.505984,"BRA",,"NÃO",5103056,"Cláudia","MT","Xingu","NÃO",
1817,-51.333141,-8.473678,"BRA",,"NÃO",1502764,"Cumaru do Norte","PA","Xingu","NÃO",
1898,-52.755444,-11.82141,"BRA",,"NÃO",5107065,"Querência","MT","Xingu","NÃO",
1896,-54.599326,-11.649656,"BRA",,"NÃO",5108303,"União do Sul","MT","Xingu","NÃO",
1178,-51.609642,-9.30845,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","SIM","PA0045"
1892,-52.607982,-11.124686,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","NÃO",
167,-53.773243,-8.4482,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","NÃO",
48,-52.633005,-4.564437,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","NÃO",
2099,-54.175394,-12.1006,"BRA",,"NÃO",5103700,"Feliz Natal","MT","Xingu","NÃO",
397,-51.23562,-5.12093,"BRA",,"NÃO",1500859,"Anapu","PA","Xingu","NÃO",
2158,-52.654385,-10.707253,"BRA",,"NÃO",5107354,"São José do Xingu","MT","Xingu","SIM","MT0319"
623,-53.024098,-6.31421,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
1888,-52.3153,-11.453779,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","NÃO",
2286,-54.965341,-8.177136,"BRA",,"SIM",1500602,"Altamira","PA","Xingu","NÃO",
1819,-51.556655,-8.61083,"BRA",,"NÃO",1502764,"Cumaru do Norte","PA","Xingu","NÃO",
126,-51.707136,-7.000687,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
33,-52.027491,-5.576424,"BRA",,"SIM",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
225,-53.459232,-14.224677,"BRA",,"NÃO",5106307,"Paranatinga","MT","Xingu","SIM","MT0483"
118,-51.81944,-7.434778,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","SIM","PA0061"
36,-52.145771,-6.049069,"BRA",,"SIM",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
398,-51.389105,-5.103521,"BRA",,"NÃO",1500859,"Anapu","PA","Xingu","NÃO",
224,-53.230615,-14.217618,"BRA",,"NÃO",5102603,"Campinápolis","MT","Xingu","NÃO",
1481,-54.681009,-11.994492,"BRA",,"NÃO",5107248,"Santa Carmem","MT","Xingu","SIM","MT0628"
1872,-51.825187,-12.057425,"BRA",,"NÃO",5101852,"Bom Jesus do Araguaia","MT","Xingu","NÃO",
253,-52.746866,-10.814043,"BRA",,"NÃO",5107354,"São José do Xingu","MT","Xingu","SIM","MT0256"
1309,-51.157227,-8.741131,"BRA",,"NÃO",1502764,"Cumaru do Norte","PA","Xingu","NÃO",
635,-53.333399,-6.042682,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
1184,-50.964911,-5.559959,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","SIM","PA0091"
163,-53.466092,-9.526486,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","NÃO",
405,-50.968465,-5.461988,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
1451,-53.003537,-13.061565,"BRA",,"NÃO",5103858,"Gaúcha do Norte","MT","Xingu","SIM","MT0155"
