ID,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOMESC,ENDESC,NUMESC,COMPLEND,ENDERECO,BAIESC,CODCEP,FONE1,FONE2,EMAIL,ED_DIRETOR,DIRETORIA,DRE,ED_ZONA,ZONA,CODESC,CODESCMEC,COD_EOL,ED_DEPADM,DEPADM,ED_TIPO,TIPO,ED_CATEG,CATEG,ALCRECHE,ALPRE,ALEE,AL9INI,AL9FIN,ALEM,ALPROF,ALEJAFUND,ALEJAEM,AL_TOTAL,CLCRECHE,CLPRE,CLEE,CL9INI,CL9FIN,CLEM,CLPROF,CLEJAFUND,CLEJAEM,CL_TOTAL,x,y
1283,355030876000239,,76,SAPOPEMBA,32,SAPOPEMBA,Leste,Leste 1,CR P CONV CRESCENDO COM ATITUDE,LUIS JULIANI,1093,,LUIS JULIANI,JARDIM ADUTORA,03978270,23859604,,,19924,Sao Mateus,,1,URBANA,,35006723,309461,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,75,0,0,0,0,0,0,0,0,75,5,0,0,0,0,0,0,0,0,5,-46.511207905305014,-23.621476106454793
1284,355030833000008,3550308005274,33,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,CR P CONV APRENDENDO BRINCANDO,ALMEIDA FALCAO,62,,ALMEIDA FALCAO,JARDIM HELENA,08371190,27350383,,,19924,Sao Mateus,,1,URBANA,,35006724,309462,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,174,0,0,0,0,0,0,0,0,174,15,0,0,0,0,0,0,0,0,15,-46.450423825684055,-23.597563683807213
1285,355030831000006,3550308005264,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,CR P CONV REGGIO EMILIA,CORONEL MANUEL MACHADO,98,,CORONEL MANUEL MACHADO,VILA ZEFIRA,08411145,29617334,,,19909,Guaianases,,1,URBANA,,35006727,309463,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,189,0,0,0,0,0,0,0,0,189,16,0,0,0,0,0,0,0,0,16,-46.410521093924714,-23.54987544610104
1286,355030825000183,3550308005270,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CR P CONV MARIAZINHA,COUTINHO MELO,302,,COUTINHO MELO,VILA IOLANDA,08473450,25567136,,,19909,Guaianases,,1,URBANA,,35006728,309464,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,98,0,0,0,0,0,0,0,0,98,8,0,0,0,0,0,0,0,0,8,-46.385486458557864,-23.580364300407616
1287,355030859000113,3550308005144,59,PENHA,21,PENHA,Leste,Leste 1,ESC PART JEAN PIAGET BERCARIO,SAO SERAPIAO,205,,SAO SERAPIAO,VILA RE,03664000,25036951,,,19918,Penha,,1,URBANA,,35006729,309465,4,PRIVADA,499,EP,1,ESCOLAS AUTONOMAS,22,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,3,-46.50029301421727,-23.528944197381943
1288,355030837000012,3550308005200,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CR P CONV GIRASSOL DE LUZ,FRANCISCO ALARICO BERGAMO,304,,FRANCISCO ALARICO BERGAMO,VILA TAQUARI,08230010,35640658,,,19912,Itaquera,,1,URBANA,,35006733,309466,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,59,0,0,0,0,0,0,0,0,59,6,0,0,0,0,0,0,0,0,6,-46.45366433389299,-23.52768591390689
1289,355030837000165,3550308005201,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CR P CONV SUKKOT,ESTEVAM DE ARAUJO ALMEIDA,480,,ESTEVAM DE ARAUJO ALMEIDA,PARADA XV DE NOVEMBRO,08246081,42775346,,,19912,Itaquera,,1,URBANA,,35006734,309467,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,57,0,0,0,0,0,0,0,0,57,5,0,0,0,0,0,0,0,0,5,-46.43677098172586,-23.53064231545371
1290,355030825000088,3550308005271,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CR P CONV VIDA DE CRIANCA,SANTA MARIA DE TRASTEVERE,7,,SANTA MARIA DE TRASTEVERE,CHACARA SANTA ETELVINA,08490590,25168392,,,19909,Guaianases,,1,URBANA,,35006736,309468,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,130,0,0,0,0,0,0,0,0,130,11,0,0,0,0,0,0,0,0,11,-46.40448958704706,-23.587368993085867
1291,355030877000135,3550308005047,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,ESC PART HENRY WALLON KIDS,PADRE MACHADO,130,143,PADRE MACHADO,BOSQUE DA SAUDE,04127000,27378333,,,19910,Ipiranga,,1,URBANA,,35006740,309469,4,PRIVADA,499,EP,1,ESCOLAS AUTONOMAS,44,21,0,0,0,0,0,0,0,65,6,3,0,0,0,0,0,0,0,9,-46.63540707476868,-23.601801992647044
1292,355030825000189,3550308005270,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CR P CONV CARIJOS,JOSE BARRETO FILHO,34,,JOSE BARRETO FILHO,JARDIM PEROLA II,08474400,25575331,,,19909,Guaianases,,1,URBANA,,35006741,309470,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,70,0,0,0,0,0,0,0,0,70,10,0,0,0,0,0,0,0,0,10,-46.383494459073454,-23.58542132902967
