mun_codigo;mun_nome;set_cens_cod;ipvs_grupo;renda_media_dom;renda_media_per_capita
3501509;Alvinl�ndia;350150905000003;4;1516,848485;461,3456221
3501509;Alvinl�ndia;350150905000004;0;1775,255319;534,8525641
3501509;Alvinl�ndia;350150905000005;1;3068,545455;861,0714286
3501509;Alvinl�ndia;350150905000007;0;3052,272727;907,4324324
3501608;Americana;350160805000001;2;4062,234899;1796,062315
3501608;Americana;350160805000002;2;3107,811912;1337,910931
3501608;Americana;350160805000003;2;4227,303665;1794,255556
3501608;Americana;350160805000004;2;3994,347826;1738,081081
3501608;Americana;350160805000005;2;3210,744479;1175,295612
3501608;Americana;350160805000006;2;3616,02;1168,342488
3501608;Americana;350160805000007;2;3607,13986;1258,1
3501608;Americana;350160805000008;2;3213,176895;1212,60218
3501608;Americana;350160805000009;2;2762,768116;1153,010081
3501608;Americana;350160805000010;2;5488,365269;2285,678304
3501608;Americana;350160805000011;1;9025,553846;3171,140541
3501608;Americana;350160805000012;2;3776,441558;1483,602041
3501608;Americana;350160805000013;2;5049,109827;1985,218182
3501608;Americana;350160805000014;1;7479,66791;3041,807284
3501608;Americana;350160805000015;1;7835,646586;3015,573416
3501608;Americana;350160805000016;2;3598,126374;1336,446939
3501608;Americana;350160805000017;2;4311,356522;1669,380471
3501608;Americana;350160805000018;2;4753,876923;1545,01
3501608;Americana;350160805000019;3;3163,396552;1139,608696
3501608;Americana;350160805000020;2;2309;812,0167464
3501608;Americana;350160805000021;2;2805,638009;961,3116279
3501608;Americana;350160805000022;2;2555,539535;903,6858553
3501608;Americana;350160805000023;2;2907,215827;1000,25495
3501608;Americana;350160805000024;2;5317,108209;1833,957529
3501608;Americana;350160805000025;1;7325,947137;2413,628447
3501608;Americana;350160805000026;1;7808,890351;2521,851275
